stock_name,symbol,industry,index,sector
JK Lakshmi Cem.,JKLAKSHMI,Cement & Cement Products,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Construction
JSW Cement,JSWCEMENT,Cement & Cement Products,NA,Construction
K C P,KCP,Cement & Cement Products,NA,Construction
Mangalam Cement,MANGLMCEM,Cement & Cement Products,NA,Construction
NCL Industries,NCLIND,Cement & Cement Products,NA,Construction
Nuvoco Vistas,NUVOCO,Cement & Cement Products,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Construction
Orient Cement,ORIENTCEM,Cement & Cement Products,NIFTY MICROCAP 250,Construction
Prism Johnson,PRSMJOHNSN,Cement & Cement Products,NA,Construction
The Ramco Cement,RAMCOCEM,Cement & Cement Products,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Construction
Sagar Cements,SAGCEM,Cement & Cement Products,NA,Construction
Sanghi Industrie,SANGHIIND,Cement & Cement Products,NIFTY MICROCAP 250,Construction
Saurashtra Cem.,SAURASHCEM,Cement & Cement Products,NA,Construction
Sh. Digvijay Cem,SHREDIGCEM,Cement & Cement Products,NA,Construction
Shree Cement,SHREECEM,Cement & Cement Products,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Construction
Star Cement,STARCEMENT,Cement & Cement Products,NIFTY MICROCAP 250,Construction
UltraTech Cem.,ULTRACEMCO,Cement & Cement Products,"NIFTY 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Construction
Restile Ceramics,AMIC,Ceramics,,
Manoj Ceramic,AMIC,Ceramics,,
Asian Granito,ASIANTILES,Ceramics,NA,Construction
Exxaro Tiles,EXXARO,Ceramics,NA,Construction
Kajaria Ceramics,KAJARIACER,Ceramics,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500,NIFTY CONSUMER DURABLES",Construction
Murudesh.Ceramic,MURUDCERA,Ceramics,NA,Construction
Nitco,NITCO,Ceramics,NA,Construction
Orient Bell,ORIENTBELL,Ceramics,NA,Construction
Regency Ceramics,REGENCERAM,Ceramics,NA,Construction
Somany Ceramics,SOMANYCERA,Ceramics,NA,Construction
NTC Industries,NTCIND,Cigarettes & Tobacco Products,,
Raghunath Intl.,RAGHUNAT,Cigarettes & Tobacco Products,,
Elitecon Inter.,ELITECON,Cigarettes & Tobacco Products,,
Godfrey Phillips,GODFRYPHLP,Cigarettes & Tobacco Products,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",FMCG
Shanthala FMCG,SHANTHALA,Cigarettes & Tobacco Products,,
VST Industries,VSTIND,Cigarettes & Tobacco Products,NIFTY MICROCAP 250,FMCG
Afcons Infrastr.,AFCONS,Civil Construction,NA,Construction
Ahluwalia Contr.,AHLUCONT,Civil Construction,NIFTY MICROCAP 250,Construction
Cemindia Project,CEMPRO,Civil Construction,NIFTY MICROCAP 250,Construction
Dilip Buildcon,DBL,Civil Construction,NIFTY MICROCAP 250,Construction
