symbol,exchange,name,description,logoid,update_mode,type,typespecs,close,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,free_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector_tr,market,sector,AnalystRating,AnalystRating_tr,exchange_field,full_symbol
CRIMSON,BSE,CRIMSON,"Crimson Metal Engineering Co., Ltd.",crimson-metal-engineering-comp,delayed_streaming_900,stock,['common'],30.78,100,1,false,0,INR,-4.999999999999993,300,0.2608695652173913,,INR,,,,,Non-energy minerals,india,Non-Energy Minerals,Neutral,Neutral,BSE,BSE:CRIMSON
EPSOMPRO,BSE,EPSOMPRO,Epsom Properties Limited,epsom-properties-ltd,delayed_streaming_900,stock,['common'],8.23,100,1,false,0,INR,0,5,0.009908838684106223,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:EPSOMPRO
LORDSMARK,BSE,LORDSMARK,Lords Mark India Limited,kratos-energy-and-infrastructure,delayed_streaming_900,stock,['common'],637.85,100,5,false,0,INR,4.995884773662556,201,,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:LORDSMARK
KUMPFIN,BSE,KUMPFIN,Kumbhat Financial Services Limited,kumbhat-financial-services-ltd,delayed_streaming_900,stock,['common'],22.5,100,1,false,0,INR,-4.25531914893617,228,0.3219429539678057,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:KUMPFIN
SEL,BSE,SEL,Sanathnagar Enterprises Ltd,sanathnagar-enterprises-limite,delayed_streaming_900,stock,['common'],38.06,100,1,false,0,INR,-4.8737815546113366,314,0.4001529246845928,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:SEL
PGCRL,BSE,PGCRL,Pearl Green Clubs And Resorts Limited,pearl-green-clubs-and-resorts,delayed_streaming_900,stock,['common'],146.25,100,5,false,0,INR,-4.970760233918132,16800,3.943661971830986,,INR,,,,,Consumer services,india,Consumer Services,Neutral,Neutral,BSE,BSE:PGCRL
GPAPL,BSE,GPAPL,Gujarat Peanut & Agri Products Ltd.,,delayed_streaming_900,stock,['common'],67.2,100,1,false,0,INR,,2225600,,,INR,,,,,,india,,Neutral,Neutral,BSE,BSE:GPAPL
UNRYLMA,BSE,UNRYLMA,Uniroyal Marine Exports Ltd,uniroyal-marine-exports-ltd,delayed_streaming_900,stock,['common'],15.44,100,1,false,0,INR,-4.514533085961671,6093,7.204682511528911,,INR,,,,,Distribution services,india,Distribution Services,Neutral,Neutral,BSE,BSE:UNRYLMA
TULIVE,BSE,TULIVE,Tulive Developers Limited,tulive-developers-limited,delayed_streaming_900,stock,['common'],807.7,100,5,false,0,INR,1.9952014143199988,1,0.051546391752577324,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:TULIVE
RISHYRN,BSE,RISHYRN,Rishab Special Yarns Ltd.,rishab-special-yarns-ltd,delayed_streaming_900,stock,['common'],38.85,100,1,false,0,INR,-4.988994864269991,100,0.2702702702702703,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:RISHYRN
08MPD,BSE,08MPD,Nippon India Equity Savings Fund - Segerated Portfolio 2 Units Segregated Portfolio 2 -Monthly Dividend,nippon-life-india-asset,delayed_streaming_900,fund,['mutual'],5.97,100,1,false,0,INR,0.3361344537815054,2,0.0005148932883659861,,INR,,,,,,india,,Neutral,Neutral,BSE,BSE:08MPD
